#Description,The abundance of nuclides 4.5 Gy ago normalised to Si = 10^6.,The relative fraction of each isotope from L09.,Best measurement of isotopic abundances from a single terrestrial source.,Uncertainty,Mass of isotopes,Solar s-process contribution normalised to Si = 10^06.,Solar s-process contribution as a fraction of the isotope abundance (relative to L09),Solar s-process contribution normalised to Si = 10^06. ,Solar s-process contribution as a fraction of the isotope abundance
#Reference,Lodders 2009 et al. Abundances of the elements in the solar system.,Lodders 2009 et al. Abundances of the elements in the solar system.,"Meija et al., 2016. Isotopic compositions of the elements 2013 (IUPAC Technical Report)","Meija et al., 2016. Isotopic compositions of the elements 2013 (IUPAC Technical Report)","Huang et al., 2017. The AME2016 atomic mass evaluation (I).",Bisterzo et al 2009. The s-process in low-metallicity stars.,Bisterzo et al 2009. The s-process in low-metallicity stars.,"Arlandini et al., 1999. Neutron Capture in Low-Mass Asymptotic Giant Branch Stars: Cross Sections and Abundance Signatures.","Arlandini et al., 1999. Neutron Capture in Low-Mass Asymptotic Giant Branch Stars: Cross Sections and Abundance Signatures."
isotopes,initial isotope abundance L09,initial isotope fraction L09,isotope fraction M16,isotope fraction uncertainty M16,isotope mass H17,sprocess isotope abundance B11,sprocess isotope fraction B11,sprocess isotope abundance A99,sprocess isotope fraction A99
1H,25900000000,0.999981,0.99984426,5E-08,1.007825032,,,,
2H,503000,1.94E-05,0.00015574,5E-08,2.014101778,,,,
3He,1030000,0.000166,1.343E-06,1.3E-08,3.016029323,,,,
4He,2510000000,0.999834,0.999998657,1.3E-08,4.002603254,,,,
6Li,4.2,0.07589,0.07589,0.00024,6.015122887,,,,
7Li,51.4,0.92411,0.92411,0.00024,7.016003437,,,,
9Be,0.612,1,1,0,9.01218307,,,,
10B,3.7,0.1982,0.1982,0.0002,10.01293686,,,,
11B,15.1,0.8018,0.8018,0.0002,11.00930517,,,,
12C,7110000,0.98889,0.988922,2.8E-05,12,,,,
13C,79900,0.01111,0.011078,2.8E-05,13.00335484,,,,
14N,2120000,0.99634,0.996337,4E-06,14.003074,,,,
15N,7780,0.00366,0.003663,4E-06,15.0001089,,,,
16O,15700000,0.99763,0.9976206,9E-07,15.99491462,,,,
17O,5900,0.00037,0.000379,9E-06,16.99913176,,,,
18O,31500,0.002,0.0020004,5E-07,17.99915961,,,,
19F,804,1,1,0,18.99840316,,,,
20Ne,3060000,0.929431,0.904838,9E-05,19.99244018,,,,
21Ne,7330,0.002228,0.002696,5E-06,20.99384669,,,,
22Ne,225000,0.068341,0.092465,9E-05,21.99138511,,,,
23Na,57700,1,1,0,22.98976928,,,,
24Mg,810000,0.78992,0.78951,0.00012,23.9850417,,,,
25Mg,103000,0.10003,0.1002,0.0008,24.98583696,,,,
26Mg,113000,0.11005,0.11029,0.0001,25.98259297,,,,
27Al,84600,1,1,0,26.98153841,,,,
28Si,922000,0.9223,0.9222968,4.4E-06,27.97692654,,,,
29Si,46800,0.04683,0.0468316,3.2E-06,28.97649467,,,,
30Si,30900,0.03087,0.0308716,3.2E-06,29.97377014,,,,
31P,8300,1,1,0,30.973762,,,,
32S,400258,0.95018,0.9504074,8.8E-06,31.97207117,,,,
33S,3160,0.0075,0.0074869,6E-06,32.97145891,,,,
34S,17800,0.04215,0.0419599,6.6E-06,33.96786701,,,,
36S,72,0.00017,0.0001458,9E-07,35.9670807,,,,
35Cl,3920,0.75771,0.757647,3.8E-05,34.96885269,,,,
37Cl,1250,0.24229,0.242353,3.8E-05,36.96590258,,,,
36Ar,78400,0.84595,0.0033361,3.5E-06,35.96754511,,,,
38Ar,14300,0.15381,0.0006289,1.2E-06,37.9627321,,,,
40Ar,22,0.00024,0.996035,4.2E-05,39.96238312,,,,
39K,3500,0.93132,0.932581,2.9E-05,38.96370649,,,,
40K,6,0.00147,0.0001167,4E-07,39.96399817,,,,
41K,253,0.06721,0.067302,2.9E-05,40.96182526,,,,
40Ca,58500,0.96941,0.96941,6E-05,39.96259087,,,,
42Ca,391,0.00647,0.00647,3E-05,41.95861783,,,,
43Ca,82,0.00135,0.00135,2E-05,42.95876643,,,,
44Ca,1260,0.02086,0.02086,4E-05,43.9554815,,,,
46Ca,2,4E-05,4E-05,1E-05,45.953688,,,,
48Ca,113,0.00187,0.00187,1E-05,47.9525229,,,,
45Sc,34.4,1,1,0,44.9559075,,,,
46Ti,204,0.08249,0.08249,0.00021,45.95262686,,,,
47Ti,184,0.07437,0.07437,0.00014,46.95175775,,,,
48Ti,1820,0.7372,0.7372,0.0022,47.94794093,,,,
49Ti,134,0.05409,0.05409,0.0001,48.94786463,,,,
50Ti,128,0.05185,0.05185,0.00013,49.94478584,,,,
50V,0.7,0.002497,0.002497,6E-06,49.9471558,,,,
51V,285.7,0.997503,0.997503,6E-06,50.9439569,,,,
50Cr,569,0.043452,0.043452,8.5E-05,49.9460414,,,,
52Cr,11000,0.837895,0.837895,0.000117,51.940505,,,,
53Cr,1240,0.095006,0.095006,0.00011,52.940647,,,,
54Cr,309,0.023647,0.023647,4.8E-05,53.938878,,,,
55Mn,9220,1,1,0,54.9380432,,,,
54Fe,49600,0.05845,0.05845,0.0023,53.9396083,,,,
